date,symbol,name,open,high,low,close,adj_close,volume,return_1d,return_7d,return_30d,log_return_1d,sma_7,sma_30,sma_90,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_mid_20,bb_upper,bb_lower,bb_width,atr_14,volatility_30d,hl_range_pct,volume_sma_7,close_btc_ratio,feargreed_value,feargreed_class,mkt_sp500,mkt_nasdaq,mkt_gold,mkt_oil,mkt_vix,mkt_us10y,mkt_dxy,btc_hashrate_thps,btc_difficulty,btc_n_transactions,btc_active_addresses,btc_est_tx_volume_usd,btc_miner_revenue_usd,btc_tx_fees_usd,btc_circulating_supply,year,month,day_of_week,is_weekend
2017-12-17,ADA,Cardano,0.38677499,0.592417,0.37801301,0.51301098,0.51301098,628142976,0.26774242,3.65185288,18.90497727,0.2372377,0.25163585,0.12108233,,0.23766058,0.16388753,86.99788589,0.07377305,0.03928977,0.03448328,0.16591795,0.38064652,-0.04881062,2.58837063,0.057802,0.23898619,41.79325508,269565532.0,2.68e-05,,,2675.81005859,6936.58007812,1254.30004883,57.29999924,9.42000008,2.35500002,93.93000031,14630524.3132847,1590896927258.0,391910.0,877465.0,5098289901.58077,55498368.9347384,10427661.2122327,16748350.0,2017,12,6,1
2017-12-18,ADA,Cardano,0.51193899,0.52649599,0.46740299,0.51819801,0.51819801,253463008,0.01011096,3.26911535,18.6517887,0.01006019,0.30832371,0.13747663,,0.28082018,0.19013275,87.02619319,0.09068743,0.0495693,0.04111813,0.18584065,0.45063278,-0.07895148,2.84966858,0.06062321,0.2391395,11.40355559,300129690.28571427,2.711e-05,,,2690.15991211,6994.75976562,1262.19995117,57.15999985,9.52999973,2.39199996,93.69999695,16946489.2356708,1718045833483.09,394239.0,922524.0,4869203329.46846,54532107.9700656,11204852.4091812,16750625.0,2017,12,0,0
2017-12-19,ADA,Cardano,0.52026802,0.589589,0.50108302,0.53127301,0.53127301,279631008,0.02523166,2.96795156,17.91728374,0.02491859,0.36509257,0.1542496,,0.31935139,0.2154024,88.75192794,0.10394899,0.06044524,0.04350375,0.2079184,0.50997488,-0.09413808,2.90552908,0.06625743,0.23943961,16.65922833,331497434.28571427,2.989e-05,,,2681.4699707,6963.85009766,1260.69995117,57.45999908,10.02999973,2.46300006,93.47000122,13035760.950516,1873105475221.0,378622.0,887698.0,3906879033.08123,44228748.1746236,12117323.339276,16752375.0,2017,12,1,0
2017-12-20,ADA,Cardano,0.533705,0.533705,0.44162101,0.48615101,0.48615101,182924000,-0.08493185,2.62040072,15.43457028,-0.08875673,0.41535971,0.1694686,,0.34501287,0.23545785,83.09420427,0.10955502,0.07026719,0.03928782,0.2262318,0.54948389,-0.09702029,2.85770693,0.07147993,0.24173976,18.94143768,348833005.71428573,2.924e-05,,,2679.25,6960.95996094,1266.09997559,58.09000015,9.72000027,2.49699998,93.34999847,12663310.6376441,1873105475221.0,370277.0,853864.0,5449320743.10896,44203326.9660163,15419911.8839014,16754075.0,2017,12,2,0
2017-12-21,ADA,Cardano,0.490049,0.523619,0.45652699,0.477851,0.477851,162926000,-0.0170729,0.98481852,15.86731385,-0.01722032,0.44923086,0.18445263,,0.3654495,0.2534129,83.70159077,0.11203661,0.07862108,0.03341553,0.24355675,0.58217424,-0.09506074,2.78060442,0.07493828,0.24127975,14.04036006,327921433.14285713,3.024e-05,,,2684.57006836,6965.35986328,1267.30004883,58.36000061,9.61999989,2.48099995,93.27999878,12290860.3247722,1873105475221.0,335482.0,840740.0,3765982142.63797,46165232.3021406,18712398.6488643,16755725.0,2017,12,3,0
2017-12-22,ADA,Cardano,0.47897401,0.47897401,0.293641,0.40715,0.40715,150972992,-0.14795617,0.90732055,13.26144494,-0.16011731,0.47689986,0.19707267,,0.37186496,0.26480083,73.7854292,0.10706413,0.08430969,0.02275445,0.2572967,0.59919969,-0.08460629,2.65765549,0.08663421,0.24526629,45.51959066,319873145.14285713,2.944e-05,,,2683.34008789,6959.95996094,1275.40002441,58.47000122,9.89999962,2.4849999,93.34999847,14432449.6237856,1873105475221.0,380648.0,890732.0,4135071530.94297,48973790.4176209,21285645.3877237,16757662.5,2017,12,4,0
2017-12-23,ADA,Cardano,0.41442001,0.45036799,0.39256701,0.41402701,0.41402701,88865000,0.01689059,0.02313522,14.08624887,0.01674953,0.47823729,0.20995877,,0.37835143,0.27585462,73.90175577,0.10249681,0.08794711,0.0145497,0.2714077,0.61479583,-0.07198043,2.5304229,0.08897007,0.24446752,13.96067833,249560712.0,2.817e-05,,,2683.34008789,6959.95996094,1275.40002441,58.47000122,9.89999962,2.4849999,93.34999847,12942648.372298,1873105475221.0,308211.0,729638.0,2381107619.03715,41645027.4925059,15842853.8998328,16759400.0,2017,12,5,1
2017-12-24,ADA,Cardano,0.41666099,0.41666099,0.34703901,0.39002901,0.39002901,67372304,-0.05796238,-0.2397258,12.74212596,-0.05971007,0.46066844,0.22201367,,0.38014798,0.28431198,72.18243528,0.095836,0.08952489,0.00631111,0.28411565,0.62518792,-0.05695662,2.40093968,0.09253871,0.24580587,17.85046185,169450616.0,2.801e-05,,,2683.34008789,6959.95996094,1275.40002441,58.47000122,9.89999962,2.4849999,93.34999847,14153111.8891317,1873105475221.0,279523.0,652210.0,2531170728.06185,38398460.7292659,12193075.3861145,16761300.0,2017,12,6,1
2017-12-25,ADA,Cardano,0.39232999,0.43970001,0.36280701,0.416363,0.416363,122194000,0.06751802,-0.19651757,12.67500877,0.06533635,0.44612058,0.23487753,,0.38571952,0.29409354,72.83855295,0.09162598,0.08994511,0.00168088,0.2985594,0.63615261,-0.03903381,2.26148105,0.09712071,0.24581925,18.46777971,150697900.57142857,2.968e-05,,,2683.34008789,6959.95996094,1275.40002441,58.47000122,9.89999962,2.4849999,93.34999847,12570198.0594261,1873105475221.0,228926.0,565075.0,2523983332.05314,33837650.8285438,9798349.38333829,16762987.5,2017,12,0,0
2017-12-26,ADA,Cardano,0.413573,0.43008599,0.405608,0.42846501,0.42846501,94896000,0.029066,-0.19351256,10.79304768,0.0286516,0.43143372,0.24794863,,0.39229575,0.30404698,72.82146638,0.08824877,0.08960584,-0.00135707,0.3140907,0.64519564,-0.01701423,2.10833963,0.09717014,0.24544587,5.71294924,124307185.14285713,2.661e-05,,,2680.5,6936.25,1284.09997559,59.97000122,10.25,2.46700001,93.26000214,13221986.1069519,1873105475221.0,247440.0,605854.0,3068717710.39764,38650262.934002,11223846.0586507,16764762.5,2017,12,1,0
